DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
16/02/22 11.46.39; 4096; 2.731559E+02; 2.747472E+01; 2.947200E-02; 2.374685E+01; 1.804896E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.40; 4096; 2.811501E+02; 3.041482E+01; 2.800000E-02; 2.502778E+01; 1.777664E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.40; 4096; 2.707845E+02; 3.118490E+01; 1.433600E-02; 2.376704E+01; 1.794048E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.41; 4096; 2.782102E+02; 2.725277E+01; 4.844800E-02; 2.341498E+01; 1.808384E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.41; 4096; 2.743812E+02; 2.946867E+01; 1.433600E-02; 2.511206E+01; 1.785856E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.41; 4096; 2.663322E+02; 2.821571E+01; 3.059200E-02; 2.449805E+01; 1.785856E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.42; 4096; 2.742772E+02; 2.910387E+01; 3.120000E-02; 2.470106E+01; 1.905952E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.42; 4096; 2.685180E+02; 2.936787E+01; 1.254400E-02; 2.505520E+01; 1.771232E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.43; 4096; 2.727923E+02; 2.931318E+01; 1.446400E-02; 2.474240E+01; 1.787680E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.43; 4096; 2.671018E+02; 3.011261E+01; 5.734400E-02; 2.513021E+01; 1.810432E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.44; 4096; 2.807238E+02; 2.963312E+01; 5.347200E-02; 2.515251E+01; 1.779712E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.44; 4096; 2.671832E+02; 2.962358E+01; 1.433600E-02; 2.481766E+01; 1.828128E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.45; 4096; 2.695609E+02; 3.275453E+01; 1.443200E-02; 2.686157E+01; 1.792000E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.45; 4096; 2.700107E+02; 3.131722E+01; 1.430400E-02; 2.617958E+01; 1.811712E+00; vec4; NVIDIA CUDA; 32; 44; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
16/02/22 11.46.45; 4096; 2.663344E+02; 2.891923E+01; 3.507200E-02; 2.342115E+01; 1.795744E+00; vec4; NVIDIA CUDA; 32; 45; 0; NVIDIA GeForce GTX 1650 with Max-Q Design
