DATA; N TASKS; TOTAL RUN SECONDS CPU; TOTAL RUN SECONDS GPU; DISCOVER ENTRIES RUNTIME MS; COMPUTE METRICS RUNTIME MS; SORT RUNTIME MS; VERSION; PLATFORM; PREFERRED WORK GROUP SIZE; GPU TEMPERATURE; CPU TEMPERATURE; DEVICE
20/02/22 00.41.31; 262144; 2.532182E+04; 2.530325E+04; 1.356000E-01; 2.527704E+04; 5.619200E+00; vectorized; Intel(R) OpenCL; 128; 51; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
20/02/22 00.41.56; 262144; 2.493510E+04; 2.491160E+04; 1.345000E-01; 2.488159E+04; 6.650000E+00; vectorized; Intel(R) OpenCL; 128; 53; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
20/02/22 00.42.21; 262144; 2.471469E+04; 2.469430E+04; 1.805000E-01; 2.466161E+04; 6.036400E+00; vectorized; Intel(R) OpenCL; 128; 54; 0; Intel(R) Core(TM) i7-10710U CPU @ 1.10GHz
